request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This leaves the IDR 24768300 minimum protected over the next 90 days.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This leaves the ZAR 20500 minimum protected over the next 90 days.
request_28,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1302.4 request. None of the available options keeps the EUR 1100 minimum protected.
request_29,15952.07,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 51524 request. None of the available options keeps the ZAR 28300 minimum protected.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This keeps the USD 900 minimum protected throughout the plan."
request_31,2894443.04,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Wait until 2024-11-15, then pay IDR 18164000 in full. Paying earlier would take the balance below the IDR 16588900 minimum."
request_32,14175.2,affordable_later,wait,2025-02-15:40018,2025-02-15,none,"Wait until 2025-02-15, then pay ZAR 40018 in full. Paying earlier would take the balance below the ZAR 35700 minimum."
request_33,34687.3,affordable_later,wait,2026-02-15:118000,2026-02-15,none,"Wait until 2026-02-15, then pay INR 118000 in full. Paying earlier would take the balance below the INR 102100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This leaves the INR 138500 minimum protected over the next 90 days.
request_35,21248.24,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 2026-01-15, then pay INR 212000 in full. Paying earlier would take the balance below the INR 106400 minimum."
request_36,736.96,affordable_later,wait,2026-08-15:3954,2026-08-15,none,"Wait until 2026-08-15, then pay USD 3954 in full. Paying earlier would take the balance below the USD 2400 minimum."
request_37,0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 14649000 request. None of the available options keeps the IDR 17056200 minimum protected.
request_38,210.66,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,"Wait until 2025-09-15, then pay EUR 971.3 in full. Paying earlier would take the balance below the EUR 400 minimum."
request_39,72709.72,affordable_later,wait,2026-05-15:208600,2026-05-15,none,"Wait until 2026-05-15, then pay INR 208600 in full. Paying earlier would take the balance below the INR 213400 minimum."
request_40,332.46,affordable_later,wait,2024-06-15:1290.3,2024-06-15,none,"Wait until 2024-06-15, then pay EUR 1290.3 in full. Paying earlier would take the balance below the EUR 1500 minimum."
request_41,11614770.23,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,"Wait until 2025-12-15, then pay IDR 38760000 in full. Paying earlier would take the balance below the IDR 25366600 minimum."
request_42,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 52100 request. None of the available options keeps the INR 113100 minimum protected.
request_43,8443757.75,affordable_later,wait,2024-09-15:43339000,2024-09-15,none,"Wait until 2024-09-15, then pay IDR 43339000 in full. Paying earlier would take the balance below the IDR 21398000 minimum."
request_44,37186.61,affordable_later,wait,2025-02-15:95800,2025-02-15,none,"Wait until 2025-02-15, then pay INR 95800 in full. Paying earlier would take the balance below the INR 82900 minimum."
request_45,4339787.52,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,"Wait until 2026-08-15, then pay IDR 21983000 in full. Paying earlier would take the balance below the IDR 11149800 minimum."
request_46,36858.4,affordable_with_plan,partial_payment,2024-12-03:36858.4|2024-12-15:12591.6,2024-12-15,none,A two-step payment is safe: INR 36858.4 today and INR 12591.6 on 2024-12-15. This completes the full request and keeps the INR 84000 minimum protected.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today. This leaves the IDR 30049000 minimum protected over the next 90 days.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. This leaves the INR 71300 minimum protected over the next 90 days.
request_49,11974188.05,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 34333000 request. None of the available options keeps the IDR 20275700 minimum protected.
request_50,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 43900 request. None of the available options keeps the INR 99700 minimum protected.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This leaves the IDR 7811000 minimum protected over the next 90 days.
request_52,18701.97,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 2024-06-15, then pay INR 28870 in full. Paying earlier would take the balance below the INR 41500 minimum."
request_53,477.89,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This keeps the USD 2100 minimum protected throughout the plan."
request_54,3751.86,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 121528 request. None of the available options keeps the ZAR 37000 minimum protected.
request_55,125909.04,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,reduce_to:event_5167:5288.78,"Use 3 installments of INR 75781.33, starting 2026-06-11. This keeps the INR 124300 minimum protected throughout the plan."
request_56,738.73,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,,reduce_to:event_5252:58.28,"Use 2 installments of USD 458.42, starting 2025-02-03. This keeps the USD 2100 minimum protected throughout the plan."
request_57,14724.02,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Wait until 2026-05-15, then pay ZAR 61446 in full. Paying earlier would take the balance below the ZAR 42700 minimum."
request_58,0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 16226000 request. None of the available options keeps the IDR 14433900 minimum protected.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 2025-05-07. This keeps the INR 132600 minimum protected throughout the plan."
request_60,163.06,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,"Wait until 2026-01-15, then pay USD 199.89 in full. Paying earlier would take the balance below the USD 400 minimum."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 2024-03-17. This keeps the ZAR 36700 minimum protected throughout the plan."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This leaves the USD 1300 minimum protected over the next 90 days.
